Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR12963789_2_paired										16.007032306229245	6.388286855675743	14.011049794215355	5.358528948763182	8.062383006458704	0.25609257458424906	0.15607102017599386
SRR12963790_1										18.708801320443865	8.049003414574003	17.441545723238168	6.093171980854189	6.903113895301234	0.7861053144832872	0.0
SRR12963790_1_paired										19.337390518947416	8.53830149503932	18.60876514265552	6.24164954250778	6.416009080833596	0.34189598157217244	0.0
SRR12963790_2										16.13743777703273	7.072391531633604	15.727324079153785	5.522208413599163	3.6808703562348346	0.40389308413061875	1.8676286767913122
SRR12963790_2_paired										18.850502253232047	8.44110585882299	18.39537244685569	6.242987358011432	4.191022398455961	0.4797252200884132	1.3430248281107078
SRR13326549_1										25.754969446451963	6.8254287328712175	11.176759447816034	2.9829236930399	4.6720095136654685	1.2613112561096949	1.405371751609666
SRR13326549_1_paired										24.300494268696323	6.473966130210969	10.632821957976065	2.9714300499507327	4.584787235935823	1.3085874253003	1.3926907129759971
SRR13326549_2										22.59043620100252	5.874280427584819	9.54784055046006	2.623894665021405	4.2204072516178055	0.8478601971315818	1.2145060118759785
SRR13326549_2_paired										24.61507673530082	6.417333825302412	10.263662682938577	2.800691564452759	4.282231621936127	0.9294670709604226	1.2390557083023148
SRR13326553_1										5.786348123610339	2.093487247488669	10.953396074243653	9.48261583447783	31.862819017178605	12.68502543914094	15.909670222433189
SRR13326553_1_paired										5.129410056860841	1.7837219127707822	10.428953967772582	9.599050719813356	32.50738082438374	13.046699571959094	16.489177127485817
SRR13326553_2										5.826569834883663	1.8927745935601592	10.202225733978745	9.091784569799822	29.756825885945332	11.3037987044869	14.225136285184082
SRR13326553_2_paired										5.329814137147415	1.6388098666350919	10.021030026746786	9.249631375471274	30.39326092397246	11.478679476747406	14.694220551264731
SRR14483578_1										14.349056144302812	4.617280156686172	13.938287289932106	5.330902583630334	5.036067706964065	0.4014504019046279	1.8394967754988014
SRR14483578_1_paired										14.33747656995234	4.716359810554835	14.198596326714128	5.346790306730827	5.09278351313293	0.24465280897888686	0.9076000005684178
SRR14483578_2										13.414310264585676	4.141061262148098	12.09736602957671	4.356897639336891	4.382127958353232	0.37189490230087024	2.264168828526465
SRR14483578_2_paired										13.627928316514875	4.33502559453064	12.470461589695352	4.419716914728347	4.484712751709646	0.29616524098158814	1.2157116066947464
SRR14483579_1										13.602771525134344	4.426908401725493	12.840327255046374	3.3030191828541846	3.457100327115266	0.0	2.728266003642678
SRR14483579_1_paired										13.750126688198403	4.537864555907576	13.139614509084534	3.120740763418697	3.48620041599866	0.2463795463635626	1.1234426182436166
SRR14483579_2										12.407052328914563	3.989534051932321	10.963418363842042	2.7067399058341386	3.2922336167874073	0.25487767932015853	2.995385062130097
SRR14483579_2_paired										12.81150609308085	4.204336124306607	11.376450653576915	2.6464409608109505	3.388190188521011	0.13471769757328678	1.5103618058290813
SRR14483580_1										15.515343709604648	3.4376442495087303	7.322294783407162	1.7643072698438642	1.3157545741208478	0.0	1.682609155248061
SRR14483580_1_paired										15.405273193024241	3.5186061476495083	7.151236382282134	1.6024119470439666	1.0786617444574196	0.1677918269155986	0.6456989053627054
SRR14483580_2										14.438608817212122	3.1251125562312	6.236704103914182	1.3834498031988174	1.2834655453159458	0.0	2.1273154925766864
SRR14483580_2_paired										14.704957763126586	3.2146230791317807	6.373406626822513	1.371647514425874	1.2793727720288666	0.0	1.031553472008239
SRR14517640_1										35.24761831184489	6.756800174432525	6.1932096998682065	0.6900010193403326	0.38604005084312853	0.017059512477453062	0.0
SRR14517640_1_paired										36.52115303224864	7.130736787048407	6.56169480592357	0.743087457819794	0.4012633178719962	0.017648379728239266	0.0
SRR14517640_2										33.334687326890034	4.1438473792986725	3.1697601063108927	0.34790705269038774	0.14155585982853017	0.0	0.07718345137133224
SRR14517640_2_paired										33.41177885311025	4.1556569309287985	3.1687728402368256	0.3442184688014473	0.14041410309191804	0.020869356923800948	0.033976957947370504
SRR14839288_1										35.24761831184489	6.756800174432525	6.1932096998682065	0.6900010193403326	0.38604005084312853	0.017059512477453062	0.0
SRR14839288_1_paired										36.52115303224864	7.130736787048407	6.56169480592357	0.743087457819794	0.4012633178719962	0.017648379728239266	0.0
SRR14839288_2										33.334687326890034	4.1438473792986725	3.1697601063108927	0.34790705269038774	0.14155585982853017	0.0	0.07718345137133224
SRR14839288_2_paired										33.41177885311025	4.1556569309287985	3.1687728402368256	0.3442184688014473	0.14041410309191804	0.020869356923800948	0.033976957947370504
SRR21096539_1										21.103343599895897	8.682876073457903	19.069760317560483	6.205351617590103	5.399188965315839	0.2593809938067318	0.3570933986553613
SRR21096539_1_paired										21.441912573605386	8.977971593417791	19.612556858422252	6.377319290277946	5.55080644262717	0.23106495776361868	0.0
SRR21096539_2										20.519532375578276	8.546994631570154	18.63802087683772	5.796171180849314	5.442339079282208	0.32752834347899723	0.19055066677264662
SRR21096539_2_paired										21.098460826710703	8.887634391540349	19.462590892446574	5.944080992422427	5.711639450782837	0.2807900813173327	0.0
SRR21096542_1										16.825790513039856	1.9644016813468845	1.698533030428354	0.15565313894268035	0.16832102817549596	0.0	3.483156796733787
SRR21096542_1_paired										17.480446601963617	2.076563264609226	1.6286158693946087	0.09091803744732568	0.06503336842894542	0.0	0.17640373317416694
SRR21096542_2										16.32958806406121	1.9067288364884571	1.7774717324799578	0.13671971977096495	0.3157121405964138	0.038295199749548356	2.8420396390261526
SRR21096542_2_paired										17.456343025151135	2.0187848228447844	1.7423498458046	0.10623781470492667	0.02162491497518199	0.052418793899841144	0.0
SRR21096545_1										23.334326738823165	8.250555681064691	15.5181081856616	5.350453409436687	6.710507868128259	0.3255563240811349	0.35537191989107253
SRR21096545_1_paired										23.752295381676614	8.478101903727175	15.756206257374192	5.488510281547058	6.828052051806373	0.3046271995893378	0.12373032785376704
SRR21096545_2										22.54231629235582	8.221041420753492	14.827425247860296	5.334638995252532	6.497608403722188	0.2427533224155603	0.12370922573339294
SRR21096545_2_paired										23.19379339249277	8.413394365722072	15.285023351072955	5.469286568631394	6.580307553469108	0.3079877024310948	0.12624446416482502
SRR21096550_1										15.372327459126472	2.079852482587145	1.95309254694227	0.2765492364831433	0.25231598033960345	0.0	0.8334021575843444
SRR21096550_1_paired										15.673844629407228	2.0518005800084995	1.905487781766707	0.2758708126380041	0.24936235151639335	0.0	0.0
SRR21096550_2										14.947787007609284	1.8652608284981376	1.9618661963693453	0.22493390858369686	0.26850526085294213	0.0	0.3453306784548795
SRR21096550_2_paired										15.386345420718223	1.8971667713226867	1.9015259167073875	0.26511715082767306	0.16002072771432455	0.0	0.0
SRR21159093_1										22.81434397559808	5.632532720509743	12.463002062638946	5.327190041536056	10.57192031656221	3.717321027063134	5.480242437869633
SRR21159093_1_paired										22.27840120689518	5.8075334947342085	12.952597414011194	5.527026120656734	11.485119758221298	4.2229237114833715	6.124752322505618
SRR21159093_2										22.398506604557603	5.732839336654867	13.000542561070969	5.519156300163224	11.064317946092874	2.302369232920195	1.393387755865715
SRR21159093_2_paired										22.403352421886293	5.719694606785345	12.915780559884865	5.52266582300402	11.015985395953415	2.3621309087867863	1.5179345813382075
