gene_id,SRR29040880,SRR29040882
gene-SUSD2|SUSD2,0,0
gene-LOC134395506|LOC134395506,1009,36
gene-SGO1|SGO1,464,0
gene-KAT2B|KAT2B,250,2063
gene-EFHB|EFHB,94,4040
gene-KCNH8|KCNH8,111,15
gene-RAB5A|RAB5A,12207,3428
gene-SATB1|SATB1,1478,486
gene-TBC1D5|TBC1D5,1600,322
gene-PLCL2|PLCL2,1782,480
gene-RFTN1|RFTN1,1655,591
gene-LOC134395715|LOC134395715,26,0
gene-DPH3|DPH3,193,58
gene-OXNAD1|OXNAD1,2211,671
gene-ANKRD28|ANKRD28,6358,2847
gene-COLQ|COLQ,0,148
gene-BTD|BTD,492,108
gene-HACL1|HACL1,1770,225
gene-PLEKHA8|PLEKHA8,345,638
gene-FKBP14|FKBP14,1390,108
gene-PRR15|PRR15,3,4
gene-WIPF3|WIPF3,70,5
gene-SCRN1|SCRN1,2320,18
gene-CHN2|CHN2,1186,659
gene-TRIL|TRIL,49,75
gene-CPVL|CPVL,713,255
gene-CREB5|CREB5,750,148
gene-JAZF1|JAZF1,956,152
gene-TAX1BP1|TAX1BP1,24041,4364
gene-EVX1|EVX1,25,0
gene-HOXA13|HOXA13,19,0
gene-HOXA11|HOXA11,0,0
gene-HOXA10|HOXA10,8,0
gene-HOXA9|HOXA9,255,0
gene-HIBADH|HIBADH,4447,617
gene-HOXA7|HOXA7,1504,2
gene-HOXA2|HOXA2,88,156
gene-HOXA1|HOXA1,14,157
gene-HOXA6|HOXA6,48,85
gene-HOXA5|HOXA5,69,89
gene-HOXA4|HOXA4,305,224
gene-HOXA3|HOXA3,462,596
gene-SNX10|SNX10,76,309
gene-SKAP2|SKAP2,510,754
gene-LOC134396033|LOC134396033,2,0
gene-NPVF|NPVF,7,0
gene-NFE2L3|NFE2L3,1172,6
gene-SPMIP4|SPMIP4,4,0
gene-LOC134400575|LOC134400575,535,2302
gene-CBX3|CBX3,7095,4384
gene-HNRNPA2B1|HNRNPA2B1,19858,23557
gene-OSBPL3|OSBPL3,1982,810
gene-SEC61G|SEC61G,1236,2777
gene-TPK1|TPK1,85,110
gene-LOC134413447|LOC134413447,0,0
gene-LOC134400669|LOC134400669,0,0
gene-CFAP141|CFAP141,0,0
gene-CNTNAP2|CNTNAP2,4969,38
gene-CUL1|CUL1,18308,5289
gene-EZH2|EZH2,9370,1289
gene-LOC134400660|LOC134400660,136,0
gene-CCK|CCK,35,0
gene-MYRIP|MYRIP,202,201
gene-RPSA|RPSA,36817,48865
gene-LOC134413481|LOC134413481,0,0
gene-LOC134413482|LOC134413482,3,0
gene-TRAK1|TRAK1,8829,2108
gene-ULK4|ULK4,1662,1562
gene-KIAA1143|KIAA1143,1746,1616
gene-CTNNB1|CTNNB1,38368,19865
gene-TMEM42|TMEM42,16,11
gene-LOC134396282|LOC134396282,386,0
gene-TGM4|TGM4,88,6966
gene-KIF15|KIF15,6589,213
gene-EGFR|EGFR,941,734
gene-VOPP1|VOPP1,82,125
gene-LANCL2|LANCL2,4510,656
gene-BLVRA|BLVRA,436,118
gene-LOC134396444|LOC134396444,0,0
gene-LOC134400790|LOC134400790,200,58
gene-HECW1|HECW1,267,19
gene-STK17A|STK17A,10911,921
gene-MRPL32|MRPL32,2553,764
gene-PSMA2|PSMA2,4863,3194
gene-C1H7orf25|C1H7orf25,1319,373
gene-INHBA|INHBA,210,353
