gene_id,SRR21159093,SRR21159098
gene-GRIN2B|GRIN2B,10,146
gene-LOC123345783|LOC123345783,1742,6880
gene-PLBD1|PLBD1,109,451
gene-LOC123378068|LOC123378068,0,0
gene-GUCY2C|GUCY2C,0,65
gene-LOC123345961|LOC123345961,8,72
gene-LOC123345927|LOC123345927,0,334
gene-LOC123345943|LOC123345943,53,848
gene-FMC1|FMC1,125,142
gene-UBN2|UBN2,958,3229
gene-LOC123346074|LOC123346074,0,0
gene-LOC123346082|LOC123346082,1075,4223
gene-LOC123353543|LOC123353543,13,21
gene-LOC123350963|LOC123350963,7,0
gene-LOC123365912|LOC123365912,57,38
gene-LOC123365820|LOC123365820,158,64
gene-RRP7A|RRP7A,453,5240
gene-LOC123362321|LOC123362321,4,8
gene-POLDIP3|POLDIP3,2842,10197
gene-LOC123363322|LOC123363322,4,259
gene-NFAM1|NFAM1,67,7
gene-SERHL2|SERHL2,516,590
gene-TCF20|TCF20,1113,13931
gene-LOC123346244|LOC123346244,3,6
gene-LOC123349368|LOC123349368,14,226
gene-NDUFA6|NDUFA6,506,1198
gene-PHETA2|PHETA2,387,609
gene-SMDT1|SMDT1,464,260
gene-LOC123346248|LOC123346248,4204,31
gene-LOC123346284|LOC123346284,5082,12
gene-NAGA|NAGA,453,2241
gene-SEPTIN3|SEPTIN3,0,0
gene-CENPM|CENPM,42,3216
gene-TNFRSF13C|TNFRSF13C,0,0
gene-WBP2NL|WBP2NL,3425,12734
gene-SREBF2|SREBF2,1870,19854
gene-CCDC134|CCDC134,1240,4136
gene-MEI1|MEI1,35,159
gene-SNU13|SNU13,1428,4083
gene-XRCC6|XRCC6,604,8733
gene-DESI1|DESI1,740,2624
gene-PMM1|PMM1,1107,249
gene-CSDC2|CSDC2,475,2910
gene-PHF5A|PHF5A,802,3562
gene-POLR3H|POLR3H,509,1550
gene-ACO2|ACO2,3114,12763
gene-TOB2|TOB2,5052,2080
gene-TEF|TEF,1959,16295
gene-ZC3H7B|ZC3H7B,2296,2881
gene-RANGAP1|RANGAP1,445,6398
gene-LOC123346748|LOC123346748,371,4488
gene-CHADL|CHADL,62,728
gene-L3MBTL2|L3MBTL2,810,2554
gene-RBX1|RBX1,263,380
gene-EP300|EP300,3233,7489
gene-LOC123346923|LOC123346923,0,715
gene-SLC25A17|SLC25A17,437,710
gene-XPNPEP3|XPNPEP3,404,2930
gene-ST13|ST13,7570,21682
gene-FAM83F|FAM83F,18,1265
gene-GRAP2|GRAP2,121,194
gene-ENTHD1|ENTHD1,0,20
gene-RPS19BP1|RPS19BP1,515,6042
gene-ADSL|ADSL,431,2695
gene-TNRC6B|TNRC6B,904,2978
gene-MRTFA|MRTFA,879,6768
gene-SGSM3|SGSM3,217,3753
gene-LOC123347301|LOC123347301,751,4047
gene-LOC123347312|LOC123347312,37,342
gene-MGAT3|MGAT3,2102,2758
gene-TAB1|TAB1,510,2629
gene-ATF4|ATF4,47359,3494
gene-SYNGR1|SYNGR1,928,572
gene-PDGFB|PDGFB,147,791
gene-CBX7|CBX7,2368,612
gene-DNAL4|DNAL4,88,2064
gene-CBX6|CBX6,1271,1873
gene-LOC123365610|LOC123365610,406,522
gene-RPL3|RPL3,50058,5991
gene-LOC123362299|LOC123362299,0,0
gene-LOC123362300|LOC123362300,0,1
gene-SUN2|SUN2,2627,9280
gene-GTPBP1|GTPBP1,380,7105
gene-JOSD1|JOSD1,1567,6453
gene-TOMM22|TOMM22,1394,748
gene-DMC1|DMC1,15,114
gene-CBY1|CBY1,100,1223
gene-FAM227A|FAM227A,77,197
gene-KDELR3|KDELR3,46,149
gene-CSNK1E|CSNK1E,1006,5736
gene-TMEM184B|TMEM184B,263,5970
gene-MAFF|MAFF,291,274
gene-DDX17|DDX17,9702,2604
gene-SLC16A8|SLC16A8,16,75
gene-BAIAP2L2|BAIAP2L2,49,25
gene-PLA2G6|PLA2G6,1615,2706
