gene_id,SRR11050679,SRR11647816,SRR11647817
gene-LRFN2|LRFN2,6,0,0
gene-MOCS1|MOCS1,996,0,106
gene-DAAM2|DAAM2,195,0,33
gene-LOC121915421|LOC121915421,12,0,0
gene-LOC121924938|LOC121924938,15,0,0
gene-KIF6|KIF6,1077,0,12
gene-KCNK5|KCNK5,1173,0,40
gene-SAYSD1|SAYSD1,586,0,17
gene-GLP1R|GLP1R,5,0,0
gene-DNAH8|DNAH8,1504,0,0
gene-GLO1|GLO1,1124,21,152
gene-BTBD9|BTBD9,903,0,10
gene-LOC121937441|LOC121937441,0,0,0
gene-ZFAND3|ZFAND3,3178,0,90
gene-MDGA1|MDGA1,63,0,4
gene-LOC121918944|LOC121918944,7,0,0
gene-TCTE1|TCTE1,321,0,0
gene-TMEM151B|TMEM151B,62,0,0
gene-NFKBIE|NFKBIE,268,0,23
gene-LOC121924949|LOC121924949,0,0,0
gene-SLC35B2|SLC35B2,2533,0,29
gene-CCDC167|CCDC167,2660,0,41
gene-CMTR1|CMTR1,8665,0,128
gene-AARS2|AARS2,1533,8,36
gene-LOC121917799|LOC121917799,389,0,0
gene-LOC121917836|LOC121917836,8,0,0
gene-LOC121928897|LOC121928897,0,0,0
gene-TMEM63B|TMEM63B,400,13,135
gene-CAPN11|CAPN11,4247,16,132
gene-MRPL14|MRPL14,513,8,9
gene-LOC121924955|LOC121924955,742,0,0
gene-HSP90AB1|HSP90AB1,37731,59,1054
gene-SLC29A1|SLC29A1,3827,0,34
gene-VEGFA|VEGFA,439,15,250
gene-LOC121914859|LOC121914859,0,0,0
gene-MRPS18A|MRPS18A,2717,0,10
gene-RSPH9|RSPH9,7108,0,0
gene-LOC121934079|LOC121934079,464,77,422
gene-LOC121934087|LOC121934087,1377,4,36
gene-GTPBP2|GTPBP2,4531,6,97
gene-POLH|POLH,711,0,20
gene-XPO5|XPO5,6783,0,71
gene-POLR1C|POLR1C,2466,0,25
gene-FUT11|FUT11,266,0,13
gene-YIPF3|YIPF3,2206,18,82
gene-DLK2|DLK2,51,0,0
gene-LOC121930004|LOC121930004,53,0,4
gene-LRRC73|LRRC73,171,0,0
gene-TJAP1|TJAP1,1080,0,34
gene-LOC121923688|LOC121923688,1189,0,32
gene-ABCC10|ABCC10,1665,6,38
gene-LOC121919988|LOC121919988,11194,5,56
gene-FAM98A|FAM98A,3227,8,92
gene-RASGRP3|RASGRP3,1975,0,8
gene-LOC121919389|LOC121919389,30,0,0
gene-LOC121919388|LOC121919388,79,0,0
gene-LTBP1|LTBP1,1419,16,134
gene-TTC27|TTC27,2205,0,37
gene-BIRC6|BIRC6,1951,0,253
gene-NLRC4|NLRC4,250,0,25
gene-YIPF4|YIPF4,7039,6,129
gene-LOC121919728|LOC121919728,218,0,0
gene-LOC121919530|LOC121919530,0,0,0
gene-LOC121919529|LOC121919529,0,0,0
gene-CDC42EP3|CDC42EP3,28,0,4
gene-LOC121936879|LOC121936879,0,0,0
gene-LOC121924964|LOC121924964,14,0,0
gene-RMDN2|RMDN2,194,12,145
gene-LOC121936862|LOC121936862,195,0,30
gene-EIF2AK2|EIF2AK2,125,0,10
gene-LOC121936867|LOC121936867,738,0,0
gene-RNF212|RNF212,1734,0,0
gene-LOC121936873|LOC121936873,5,0,0
gene-GPATCH11|GPATCH11,2591,0,9
gene-HEATR5B|HEATR5B,3746,0,75
gene-VIT|VIT,17,0,0
gene-STRN|STRN,1474,0,39
gene-LOC121916550|LOC121916550,401,0,0
gene-FEZ2|FEZ2,3201,0,38
gene-CRIM1|CRIM1,1262,0,53
gene-SULT6B1|SULT6B1,100,0,0
gene-CEBPZOS|CEBPZOS,645,0,2
gene-CEBPZ|CEBPZ,4855,0,50
gene-NDUFAF7|NDUFAF7,1566,0,12
gene-PRKD3|PRKD3,1706,0,62
gene-QPCT|QPCT,604,5,33
gene-SLC30A6|SLC30A6,1278,7,50
gene-LOC121930350|LOC121930350,4129,0,115
gene-TFB2M|TFB2M,827,6,23
gene-LOC121919257|LOC121919257,545,0,10
gene-CNST|CNST,509,0,18
gene-SPAST|SPAST,1153,0,37
gene-DPY30|DPY30,2209,0,9
gene-MEMO1|MEMO1,4002,5,67
gene-SRD5A2|SRD5A2,34,0,0
gene-AHCTF1|AHCTF1,3861,5,76
gene-LOC121924976|LOC121924976,14,0,0
gene-SCCPDH|SCCPDH,21423,21,343
gene-SMYD3|SMYD3,1072,0,7
gene-LOC121919359|LOC121919359,12,0,0
gene-KIF26B|KIF26B,35,0,0
gene-EFCAB2|EFCAB2,249,0,0
gene-DESI2|DESI2,2167,6,58
gene-HNRNPU|HNRNPU,19041,0,267
gene-LOC121918990|LOC121918990,739,0,90
gene-CATSPERE|CATSPERE,771,0,0
gene-C1H1orf100|C1H1orf100,154,0,0
gene-ZBTB18|ZBTB18,467,0,17
gene-ADSS2|ADSS2,2931,0,0
gene-SDCCAG8|SDCCAG8,470,0,6
gene-LOC121919650|LOC121919650,0,0,0
gene-AKT3|AKT3,128,0,6
gene-CEP170|CEP170,1883,0,35
gene-PLD5|PLD5,20,0,0
gene-MAP1LC3C|MAP1LC3C,29,0,0
gene-EXO1|EXO1,1853,0,10
gene-WDR64|WDR64,132,0,0
gene-OPN3|OPN3,143,0,0
gene-LOC121916445|LOC121916445,31,0,0
gene-PIGM|PIGM,1209,4,17
gene-GREM2|GREM2,37,0,0
gene-RGS7|RGS7,111,0,0
gene-FMN2|FMN2,36,0,0
gene-LOC121920098|LOC121920098,0,0,0
gene-CHRM3|CHRM3,21,0,0
gene-RYR2|RYR2,560,0,23
gene-MTR|MTR,1063,0,38
gene-ACTN2|ACTN2,552,0,5
gene-EDARADD|EDARADD,444,0,0
gene-HEATR1|HEATR1,4206,0,22
gene-LGALS8|LGALS8,1160,5,62
gene-NID1|NID1,271,7,184
gene-ERO1B|ERO1B,3769,0,18
gene-GPR137B|GPR137B,62,0,44
gene-LYST|LYST,3225,0,53
gene-GNG4|GNG4,31,0,0
gene-B3GALNT2|B3GALNT2,676,13,92
gene-TBCE|TBCE,3188,0,32
gene-LOC121919406|LOC121919406,0,0,0
gene-LOC121919410|LOC121919410,4,0,0
gene-GGPS1|GGPS1,1504,0,10
gene-ARID4B|ARID4B,3081,3,59
gene-RBM34|RBM34,1369,0,23
gene-TOMM20|TOMM20,2416,0,27
gene-LOC121920140|LOC121920140,2,0,0
gene-LOC121928309|LOC121928309,0,0,0
gene-LOC121916990|LOC121916990,0,0,0
gene-LOC121916983|LOC121916983,15,0,0
gene-LOC121923259|LOC121923259,0,0,0
gene-IRF2BP2|IRF2BP2,4874,11,101
gene-KCNK1|KCNK1,9,0,0
gene-MAP3K21|MAP3K21,454,0,39
gene-TARBP1|TARBP1,1669,0,50
gene-LOC121928303|LOC121928303,251,0,6
gene-SLC35F3|SLC35F3,28,0,0
gene-NTPCR|NTPCR,2870,0,34
gene-PCNX2|PCNX2,49,0,0
gene-MAP10|MAP10,1239,2,9
gene-SIPA1L2|SIPA1L2,3884,0,22
gene-DISC1|DISC1,133,0,6
gene-TSNAX|TSNAX,2388,0,9
gene-EGLN1|EGLN1,4078,17,126
gene-SPRTN|SPRTN,2183,0,24
gene-RHOU|RHOU,179,0,67
gene-EXOC8|EXOC8,1545,5,61
gene-LOC121935240|LOC121935240,68,0,0
gene-ACTA1|ACTA1,58,0,0
gene-RAB4A|RAB4A,5009,0,7
gene-LOC121919462|LOC121919462,14,0,0
gene-NUP133|NUP133,7504,3,28
gene-TAF5L|TAF5L,831,0,35
gene-ABCB10|ABCB10,1440,6,77
gene-URB2|URB2,1056,0,27
gene-PGBD5|PGBD5,155,0,20
gene-GALNT2|GALNT2,2617,0,56
gene-CAPN9|CAPN9,10,0,0
gene-COG2|COG2,1184,6,112
gene-AGT|AGT,7,963,4084
gene-C1H1orf198|C1H1orf198,1687,0,113
gene-TTC13|TTC13,971,0,23
gene-ARV1|ARV1,1020,0,0
gene-FAM89A|FAM89A,843,3,18
gene-TRIM67|TRIM67,0,0,67
gene-C1H1orf131|C1H1orf131,1373,0,14
gene-GNPAT|GNPAT,2773,0,24
gene-PDCD2|PDCD2,2428,0,82
gene-DLL1|DLL1,0,0,0
