gene_id,SRR8754967,SRR8754969,SRR8754971,SRR8754979
gene-SPHKAP|SPHKAP,0,7,73,0
gene-COL4A3|COL4A3,0,412,59,1852
gene-MFF|MFF,386,825,780,10047
gene-PID1|PID1,84,1155,191,482
gene-SLC16A14|SLC16A14,0,140,292,576
gene-ZBTB38|ZBTB38,2,18,44,1143
gene-RNF7|RNF7,88,219,241,913
gene-RASA2|RASA2,80,183,170,389
gene-GRK7|GRK7,52,123,57,76
gene-TRIP12|TRIP12,1435,3424,3834,36456
gene-FBXO36|FBXO36,0,26,81,264
gene-ATP1B3|ATP1B3,399,3659,538,4598
gene-GK5|GK5,463,148,246,633
gene-LOC113410174|LOC113410174,21,0,50,0
gene-ATR|ATR,148,259,440,1914
gene-XRN1|XRN1,647,628,570,2332
gene-TRPC1|TRPC1,0,6,173,119
gene-PLS1|PLS1,296,0,649,30
gene-CHST2|CHST2,2,352,43,69
gene-U2SURP|U2SURP,893,2190,2707,2602
gene-DIPK2A|DIPK2A,38,508,91,1901
gene-SLC9A9|SLC9A9,62,159,23,505
gene-PLOD2|PLOD2,323,3172,201,3594
gene-LOC113411524|LOC113411524,0,0,368,0
gene-LOC113410257|LOC113410257,447,461,555,275
gene-LOC113410275|LOC113410275,251,729,346,671
gene-LOC113410288|LOC113410288,20,247,79,659
gene-AGTR1|AGTR1,161,320,654,84
gene-GYG1|GYG1,98,453,320,11602
gene-HLTF|HLTF,176,435,902,3811
gene-LOC113410337|LOC113410337,107,237,102,143
gene-TM4SF18|TM4SF18,34,327,57,212
gene-HPS3|HPS3,63,127,76,881
gene-CP|CP,23981,3909,175,416
gene-TM4SF4|TM4SF4,900,0,8,10
gene-COMMD2|COMMD2,107,243,200,4410
gene-WWTR1|WWTR1,486,2967,913,4897
gene-RNF13|RNF13,403,1927,713,4982
gene-ANKUB1|ANKUB1,4,95,54,1004
gene-PFN2|PFN2,1407,3836,3275,16296
gene-TSC22D2|TSC22D2,229,907,667,2243
gene-EIF2A|EIF2A,200,262,247,2423
gene-LOC113410431|LOC113410431,10,42,14,52
gene-SELENOT|SELENOT,676,928,724,2075
gene-ERICH6|ERICH6,59,14,28,37
gene-SIAH2|SIAH2,16,148,22,258
gene-AADAC|AADAC,16,0,2,0
gene-LOC113414088|LOC113414088,1,1,1,1
gene-MED12L|MED12L,0,62,20,535
gene-GPR171|GPR171,0,11,2,23
gene-GPR87|GPR87,0,1,0,0
gene-P2RY13|P2RY13,46,305,16,125
gene-P2RY12|P2RY12,0,86,10,8
gene-P2RY14|P2RY14,4,65,6,37
gene-P2RY1|P2RY1,10,172,186,39
gene-RAP2B|RAP2B,201,1410,760,1707
gene-ARHGEF26|ARHGEF26,80,141,57,327
gene-MBNL1|MBNL1,2066,3834,1257,2906
gene-DHX36|DHX36,216,458,549,7292
gene-CUNH3orf33|CUNH3orf33,42,114,139,527
gene-MME|MME,75,1123,395,138
gene-PLCH1|PLCH1,0,0,130,327
gene-SLC33A1|SLC33A1,259,209,177,543
gene-GMPS|GMPS,654,579,1094,10059
gene-KCNAB1|KCNAB1,0,0,22,0
gene-SSR3|SSR3,1452,1942,767,5260
gene-TIPARP|TIPARP,108,1143,295,2037
gene-LEKR1|LEKR1,0,16,74,784
gene-CCNL1|CCNL1,778,1630,895,1522
gene-VEPH1|VEPH1,25,0,145,8
gene-PTX3|PTX3,2,173,14,180
gene-MLF1|MLF1,214,587,907,3199
gene-RSRC1|RSRC1,68,203,237,1149
gene-GFM1|GFM1,531,501,593,3850
gene-LXN|LXN,565,243,69,278
gene-LOC113410885|LOC113410885,1018,9842,343,9678
gene-MFSD1|MFSD1,260,665,277,4320
gene-CUNH3orf80|CUNH3orf80,2,18,6,119
gene-LOC113410931|LOC113410931,49,36,24,127
gene-LOC113410998|LOC113410998,2,7,32,12
gene-TRIM59|TRIM59,26,76,124,226
gene-SMC4|SMC4,55,265,552,3801
gene-IFT80|IFT80,57,371,646,2486
gene-LOC113411766|LOC113411766,27,361,214,1550
gene-KPNA4|KPNA4,1325,3061,2218,12714
gene-LOC113414064|LOC113414064,6,8,12,43
gene-LOC113412556|LOC113412556,0,0,0,0
gene-NMD3|NMD3,191,285,267,1979
gene-PPM1L|PPM1L,251,200,74,164
gene-SLITRK3|SLITRK3,4,146,16,8
gene-SI|SI,46,372,38,106
gene-ZBBX|ZBBX,0,0,56,90
gene-PDCD10|PDCD10,111,627,438,3538
gene-SERPINI1|SERPINI1,418,77,603,1697
gene-MECOM|MECOM,48,287,146,3217
gene-GOLIM4|GOLIM4,3875,819,586,644
gene-MYNN|MYNN,66,122,186,407
gene-LRRIQ4|LRRIQ4,0,0,22,0
gene-LRRC31|LRRC31,54,0,11,11
gene-GPR160|GPR160,14,90,35,593
gene-SEC62|SEC62,849,1031,1014,1736
gene-CLDN11|CLDN11,0,60,6736,57
gene-SKIL|SKIL,32,136,137,1248
gene-LOC113411369|LOC113411369,8,50,14,25
gene-PRKCI|PRKCI,62,488,854,1930
gene-PHC3|PHC3,261,453,797,1346
gene-LOC113411260|LOC113411260,0,0,147,0
gene-LOC113411269|LOC113411269,1,1,594,0
gene-LOC113411325|LOC113411325,3,7,11,4
gene-RPL22L1|RPL22L1,154,377,312,596
gene-EIF5A2|EIF5A2,876,1334,1570,36590
gene-SLC2A2|SLC2A2,921,8,28,4
gene-TMEM212|TMEM212,0,5,141,227
gene-PLD1|PLD1,50,196,156,190
gene-TNIK|TNIK,48,629,643,1570
gene-GHSR|GHSR,0,0,0,0
gene-NCEH1|NCEH1,14,490,37,2325
gene-TNFSF10|TNFSF10,379,865,1037,939
gene-SPATA16|SPATA16,6,0,11,0
gene-FNDC3B|FNDC3B,2833,1748,838,1980
gene-NLGN1|NLGN1,0,25,20,6
gene-LOC113411491|LOC113411491,0,0,0,0
gene-LOC113411518|LOC113411518,0,0,0,0
gene-TBL1XR1|TBL1XR1,292,977,927,5267
gene-NAALADL2|NAALADL2,4,0,14,20
gene-ZMAT3|ZMAT3,15,38,29,181
gene-KCNMB2|KCNMB2,666,0,6,104
gene-ZNF639|ZNF639,89,397,434,2527
gene-PIK3CA|PIK3CA,273,630,613,2604
gene-MFN1|MFN1,397,894,681,10971
gene-GNB4|GNB4,134,948,775,10378
gene-NIFK|NIFK,3889,6385,2892,6413
gene-ACTL6A|ACTL6A,119,277,385,1774
gene-MRPL47|MRPL47,40,68,80,337
gene-NDUFB5|NDUFB5,413,507,308,1115
gene-USP13|USP13,0,246,152,2307
gene-CCDC39|CCDC39,0,13,298,490
gene-TTC14|TTC14,246,555,464,773
gene-OCLN|OCLN,3,142,82,411
gene-MARVELD2|MARVELD2,34,162,164,301
gene-RAD17|RAD17,141,369,446,1156
gene-DNAJC19|DNAJC19,164,171,147,948
gene-FXR1|FXR1,1442,2372,2287,11791
gene-AK6|AK6,81,163,228,961
gene-CCDC125|CCDC125,110,132,172,690
gene-ANKRD34B|ANKRD34B,4,9,21,975
gene-FAM151B|FAM151B,28,28,94,69
gene-ZFYVE16|ZFYVE16,64,366,373,1118
gene-DHFR|DHFR,27,43,89,560
gene-CKMT2|CKMT2,0,7,5,0
gene-MSH3|MSH3,92,218,301,1596
gene-RASGRF2|RASGRF2,0,22,109,683
gene-ZCCHC9|ZCCHC9,55,143,119,1777
gene-ACOT12|ACOT12,0,11,12,144
gene-ATG10|ATG10,27,74,33,190
gene-SSBP2|SSBP2,112,526,226,1111
gene-RPS23|RPS23,5100,10836,5234,7219
gene-TMEM167A|TMEM167A,216,559,342,661
gene-XRCC4|XRCC4,10,44,59,778
gene-VCAN|VCAN,14,198,203,1157
gene-EDIL3|EDIL3,8,0,359,94
gene-LOC113417711|LOC113417711,0,0,0,0
gene-LOC113414993|LOC113414993,663,1098,496,1427
gene-CCNH|CCNH,46,113,120,791
gene-RASA1|RASA1,172,780,675,4119
gene-TMEM161B|TMEM161B,30,83,143,756
gene-CETN3|CETN3,35,177,686,212
gene-MBLAC2|MBLAC2,75,106,145,135
gene-LYSMD3|LYSMD3,133,325,274,2450
gene-MEF2C|MEF2C,343,1596,736,1426
gene-LOC113415063|LOC113415063,0,0,0,0
gene-ADGRV1|ADGRV1,285,0,0,24
gene-NR2F1|NR2F1,28,1283,511,269
gene-ARRDC3|ARRDC3,1826,1229,789,2362
gene-FAM172A|FAM172A,189,372,387,615
gene-FAM81B|FAM81B,0,0,31,68
gene-MCTP1|MCTP1,0,0,301,982
gene-KIAA0825|KIAA0825,32,33,116,1108
gene-SLF1|SLF1,8,53,167,1823
gene-TTC37|TTC37,385,725,908,3208
gene-GPR150|GPR150,16,39,24,221
