gene_id,SRR11524053,SRR11524076
gene-TCF24|TCF24,112,19
gene-PREX2|PREX2,900,46
gene-CPA6|CPA6,122,21
gene-ARFGEF1|ARFGEF1,896,717
gene-LOC120305220|LOC120305220,3,0
gene-MCMDC2|MCMDC2,282,83
gene-LOC120304549|LOC120304549,420,173
gene-VCPIP1|VCPIP1,902,319
gene-RRS1|RRS1,161,49
gene-TRNAY-GUA-2|TRNAY-GUA,0,0
gene-MYBL1|MYBL1,271,38
gene-ADHFE1|ADHFE1,91,48
gene-DNAJC5B|DNAJC5B,5,0
gene-TRIM55|TRIM55,41,14
gene-PDE7A|PDE7A,268,77
gene-MTFR1|MTFR1,497,230
gene-ARMC1|ARMC1,674,144
gene-LOC120304686|LOC120304686,0,0
gene-LOC120304697|LOC120304697,5,0
gene-LOC120304680|LOC120304680,290,82
gene-TTPA|TTPA,168,53
gene-YTHDF3|YTHDF3,1361,461
gene-RNF4|RNF4,767,245
gene-GGH|GGH,1109,108
gene-NKAIN3|NKAIN3,278,0
gene-ASPH|ASPH,1171,285
gene-CHD7|CHD7,892,123
gene-LOC120304825|LOC120304825,13,0
gene-LOC120304838|LOC120304838,349,262
gene-RAB2A|RAB2A,1027,596
gene-CA8|CA8,1068,61
gene-LOC120304865|LOC120304865,46,9
gene-LOC120304877|LOC120304877,7,13
gene-LOC120304873|LOC120304873,160,7
gene-ACTC1|ACTC1,36,29
gene-GJD2|GJD2,9,18
gene-AQR|AQR,1105,382
gene-STXBP6|STXBP6,302,38
gene-LOC120304919|LOC120304919,7,0
gene-NOVA1|NOVA1,201,26
gene-LOC120304922|LOC120304922,170,36
gene-LOC120304937|LOC120304937,53,12
gene-CENPF|CENPF,325,36
gene-LOC120304949|LOC120304949,152,239
gene-LOC120305208|LOC120305208,1,1
gene-KCNK2|KCNK2,352,29
gene-KCTD3|KCTD3,957,275
gene-USH2A|USH2A,45,64
gene-LOC120305078|LOC120305078,90,34
gene-LOC120305121|LOC120305121,158,41
gene-ESRRG|ESRRG,141,45
gene-LOC120305114|LOC120305114,26,4
gene-BTBD6|BTBD6,587,230
gene-BRF1|BRF1,529,156
gene-AKAP5|AKAP5,80,18
gene-PPP1R36|PPP1R36,236,112
gene-HSPA2|HSPA2,6232,968
gene-ZBTB1|ZBTB1,465,107
gene-ZBTB25|ZBTB25,315,93
gene-MTHFD1|MTHFD1,1697,347
gene-LOC120305388|LOC120305388,21,0
gene-LOC120305357|LOC120305357,632,305
gene-PITRM1|PITRM1,643,166
gene-KLF6|KLF6,2453,426
gene-LOC120306026|LOC120306026,2,12
gene-MAPK11|MAPK11,443,48
gene-MAPK12|MAPK12,266,17
gene-LOC120306048|LOC120306048,22,11
gene-LOC120305950|LOC120305950,6,0
gene-PLXNB2|PLXNB2,1835,1729
gene-LOC120306098|LOC120306098,30,13
gene-TRABD|TRABD,367,310
