gene_id,SRR28919955,SRR28919960,SRR28919961,SRR28919962,SRR28919963,SRR28919964
gene-ABTB2|ABTB2,28,0,0,19,31,14
gene-NAT10|NAT10,155,80,82,182,1148,103
gene-LMO2|LMO2,28,22,0,0,0,13
gene-FBXO3|FBXO3,244,162,91,431,556,245
gene-CAPRIN1|CAPRIN1,2860,919,602,2594,13449,7690
gene-GOLGB1|GOLGB1,234,134,89,45,120,447
gene-CTTN|CTTN,79,253,74,199,1879,190
gene-SHANK2|SHANK2,356,357,369,791,4015,405
gene-PPFIA1|PPFIA1,1899,378,266,355,1349,3239
gene-FGF3|FGF3,0,0,0,4,0,0
gene-LTO1|LTO1,17,7,5,0,11,42
gene-ANO1|ANO1,211,12,0,14,15,113
gene-TPCN2|TPCN2,0,0,0,19,13,22
gene-CCND1|CCND1,268,269,299,190,641,366
gene-LOC136637162|LOC136637162,0,0,0,0,0,0
gene-NADSYN1|NADSYN1,240,148,53,150,448,76
gene-DHCR7|DHCR7,126,35,6,0,0,93
gene-CSRP3|CSRP3,0,0,0,0,0,0
gene-E2F8|E2F8,23,0,0,0,133,66
gene-ZDHHC13|ZDHHC13,431,40,24,221,581,461
gene-SLC6A5|SLC6A5,0,0,0,99,150,0
gene-PRMT3|PRMT3,439,53,46,148,204,435
gene-NAV2|NAV2,217,169,252,70,396,187
gene-SVIP|SVIP,0,0,0,0,0,0
gene-ANO5|ANO5,339,33,0,31,96,551
gene-GAS2|GAS2,39,0,0,43,0,26
gene-LOC136637255|LOC136637255,0,0,0,0,0,0
gene-LOC136638082|LOC136638082,0,0,0,0,0,0
gene-LOC136637674|LOC136637674,0,0,0,0,0,0
gene-NELL1|NELL1,55,0,0,0,26,58
gene-LUZP2|LUZP2,123,0,0,7,111,49
gene-FIBIN|FIBIN,1,0,0,0,0,0
gene-BBOX1|BBOX1,12,0,29,0,10,31
gene-CCDC34|CCDC34,25,0,0,0,217,2268
gene-LIN7C|LIN7C,126,227,163,56,259,237
gene-LOC136637965|LOC136637965,0,0,0,0,0,0
gene-LOC136637840|LOC136637840,0,0,0,0,0,0
gene-LOC136637940|LOC136637940,0,0,0,0,0,0
gene-MUC15|MUC15,0,0,0,0,29,0
gene-ANO3|ANO3,45,4,0,29,170,41
gene-LGR4|LGR4,186,156,155,39,33,273
gene-KIF18A|KIF18A,180,0,0,230,783,99
gene-KCNA4|KCNA4,21,0,21,0,1,6
gene-METTL15|METTL15,134,93,41,94,141,120
gene-ARL14EP|ARL14EP,100,75,65,69,326,80
gene-MPPED2|MPPED2,75,15,6,125,1847,182
gene-DNAJC24|DNAJC24,49,0,0,21,0,55
gene-LOC136637272|LOC136637272,0,0,0,0,0,0
gene-DCDC1|DCDC1,691,0,0,240,276,2182
gene-PAX6|PAX6,0,0,0,0,34,71
gene-RCN1|RCN1,13,101,45,850,3239,0
gene-IMMP1L|IMMP1L,135,45,16,164,666,182
gene-LOC136637878|LOC136637878,0,0,0,0,0,0
gene-ELP4|ELP4,249,64,31,85,118,140
gene-LOC136637062|LOC136637062,0,0,0,0,0,0
gene-WT1|WT1,400,9,0,328,892,231
gene-EIF3M|EIF3M,530,331,188,685,1346,600
gene-CCDC73|CCDC73,145,0,0,0,0,88
gene-DEPDC7|DEPDC7,65,77,102,406,1728,29
gene-QSER1|QSER1,157,133,46,358,1978,256
gene-TCP11L1|TCP11L1,117,106,65,0,84,60
gene-CSTF3|CSTF3,1247,223,129,652,1960,2088
gene-HIPK3|HIPK3,763,1049,690,211,406,591
gene-C1H11orf91|C1H11orf91,40,0,0,0,0,58
gene-KIAA1549L|KIAA1549L,678,0,0,15,24,1028
gene-SYT9|SYT9,20,8,16,0,0,0
gene-SPON1|SPON1,126,4,0,56,36,101
gene-LOC136637170|LOC136637170,0,0,0,0,0,0
gene-LOC136637779|LOC136637779,0,0,0,0,0,0
gene-CYB5R2|CYB5R2,233,473,576,112,464,0
gene-OVCH2|OVCH2,7,0,0,0,0,0
gene-PPFIBP2|PPFIBP2,978,393,318,142,265,664
gene-LOC136637224|LOC136637224,0,0,0,0,0,0
gene-FAR1|FAR1,2179,83,42,1646,4960,6153
gene-BTBD10|BTBD10,1163,183,77,1392,6817,6138
gene-BMAL1|BMAL1,1101,223,109,319,1959,1344
gene-LOC136643834|LOC136643834,0,5,0,0,0,0
gene-TEAD1|TEAD1,187,90,14,90,290,103
gene-LOC136637189|LOC136637189,0,0,0,0,0,0
gene-PARVA|PARVA,52,31,13,13,15,0
gene-MICAL2|MICAL2,648,100,103,501,1877,1522
gene-DKK3|DKK3,1,1,0,0,92,5
gene-USP47|USP47,1566,432,219,658,2964,3227
gene-GALNT18|GALNT18,169,3,0,142,299,176
gene-LOC136637902|LOC136637902,0,0,0,0,0,0
gene-LOC136638434|LOC136638434,0,0,0,0,0,0
gene-LOC136638249|LOC136638249,0,0,1,0,0,0
gene-CTR9|CTR9,997,240,206,569,3315,1163
gene-LYVE1|LYVE1,0,0,0,0,0,0
gene-IRAG1|IRAG1,471,38,0,84,193,639
gene-LOC136638427|LOC136638427,0,0,0,0,0,3
gene-EIF4G2|EIF4G2,14364,12656,4990,17989,54188,17967
gene-RNF141|RNF141,407,88,94,37,75,1182
gene-LOC136662586|LOC136662586,0,0,0,0,0,0
gene-AMPD3|AMPD3,105,20,24,345,1007,54
gene-SWAP70|SWAP70,78,87,90,47,86,87
gene-WEE1|WEE1,429,49,33,86,271,224
gene-SBF2|SBF2,1728,215,113,316,545,1099
gene-LOC136638413|LOC136638413,0,0,0,0,0,0
gene-ZNF143|ZNF143,551,115,99,304,1014,548
gene-TMEM41B|TMEM41B,153,163,56,180,308,116
gene-IPO7|IPO7,1206,873,432,2512,9401,2107
gene-LOC136638394|LOC136638394,0,0,0,0,0,0
gene-LOC136638393|LOC136638393,0,0,0,0,0,0
gene-DENND5A|DENND5A,330,367,171,191,512,527
gene-ASCL3|ASCL3,2,0,0,0,0,0
gene-TMEM9B|TMEM9B,144,97,87,158,151,105
gene-SCUBE2|SCUBE2,576,103,96,97,241,300
gene-DENND2B|DENND2B,506,699,274,491,2162,376
gene-LOC136662975|LOC136662975,0,0,0,0,0,0
gene-TRIM66|TRIM66,0,0,0,68,312,0
gene-RPL27A|RPL27A,2582,1992,1210,1270,687,1543
gene-LOC136638400|LOC136638400,1,0,0,0,0,6
gene-STK33|STK33,713,41,0,44,314,970
gene-RIC3|RIC3,28,7,0,0,2,31
gene-LMO1|LMO1,98,0,0,10,15,40
gene-LOC136654779|LOC136654779,0,0,0,0,0,0
gene-TUB|TUB,22,3,0,16,108,22
gene-RRAS2|RRAS2,201,304,262,993,7347,353
gene-COPB1|COPB1,1274,1351,356,1196,1652,837
gene-PSMA1|PSMA1,572,408,193,415,808,323
gene-LOC136663819|LOC136663819,0,0,0,68,127,0
gene-CYP2R1|CYP2R1,114,26,37,10,5,86
gene-LOC136643917|LOC136643917,6,3,3,4,59,75
gene-PDE3B|PDE3B,169,101,75,9,31,245
gene-LOC136657713|LOC136657713,0,0,0,0,0,0
gene-INSC|INSC,83,0,0,0,0,70
gene-C1H11orf58|C1H11orf58,114,30,21,54,241,175
gene-SOX6|SOX6,65,43,34,15,83,276
gene-PLEKHA7|PLEKHA7,542,260,136,51,68,893
gene-LOC136663783|LOC136663783,0,0,0,0,0,0
gene-RPS13|RPS13,1535,2167,1218,739,768,809
gene-PIK3C2A|PIK3C2A,309,235,165,1195,2949,244
gene-NUCB2|NUCB2,62,209,35,583,2059,209
gene-USH1C|USH1C,11,11,0,0,88,226
gene-ABCC8|ABCC8,118,96,49,46,155,122
gene-LOC136636449|LOC136636449,0,0,0,0,29,16
gene-OTOG|OTOG,0,0,0,0,81,57
gene-TPH1|TPH1,0,0,0,0,0,8
